title,link,salary,company,location,time
Kurier - Kierowca kat. B,"https://www.pracuj.pl/praca/kurier-kierowca-kat-b-wroclaw,oferta,1003964006",6 000–8 000 zł / mies. (zal. od umowy),ROCKY MOTORS sp. z o.o.,Wrocław,Pracownik fizyczny
Sprzedawca - Kasjer,"https://www.pracuj.pl/praca/sprzedawca-kasjer-kostrzyn-nad-odra-strzelecka-68,oferta,1003920675",4 666 zł brutto / mies.,ARAS RENATA NADUK,Kostrzyn nad Odrą,Pracownik fizyczny
Samodzielny księgowy / Samodzielna księgowa ze znajomością jęz. angielskiego,"https://www.pracuj.pl/praca/samodzielny-ksiegowy-samodzielna-ksiegowa-ze-znajomoscia-jez-angielskiego-katowice-krakowska-173,oferta,1003938375",N/A,NYLACAST AUTOMOTIVE POLSKA sp. z o.o.,Katowice,Specjalista (Mid / Regular)
Spawacz,"https://www.pracuj.pl/praca/spawacz-niemcy,oferta,11187534",N/A,KOPPF.PL,Niemcy,Pracownik fizyczny
Asystent / Asystentka stomatologiczna,"https://www.pracuj.pl/praca/asystent-asystentka-stomatologiczna-krakow-bonarka-8,oferta,1003964005",6 150 zł / mies. (zal. od umowy),CENTRUM STOMATOLOGICZNE KOWNACKI-DENT,Kraków,Asystent
Księgowy / Księgowa - Kontroler finansowy,"https://www.pracuj.pl/praca/ksiegowy-ksiegowa-kontroler-finansowy-krakow-ludwinowska-11,oferta,1003938373",8 000–9 000 zł brutto / mies.,SWING 2 HARMONY sp. z o.o.,"Kraków, Dębniki",Specjalista (Mid / Regular)
Opiekun / Opiekunka osób starszych,"https://www.pracuj.pl/praca/opiekun-opiekunka-osob-starszych-kazmierz-pow-szamotulski-szkolna-49,oferta,1003964004",35–36 zł brutto / godz.,"Całodobowy Dom Opieki,,Przyjaciele Józefa,,",Kaźmierz (pow. szamotulski),Pracownik fizyczny
Pomoc kuchenna,"https://www.pracuj.pl/praca/pomoc-kuchenna-sierpow-pow-zgierski-1,oferta,1003929928",30–35 zł / godz. (zal. od umowy),FAST and SMOOTH KAMIL GÓRALCZYK,Sierpów (pow. zgierski),Pracownik fizyczny
Elektromonter,"https://www.pracuj.pl/praca/elektromonter-bydgoszcz-zygmunta-augusta-11,oferta,1003945182",N/A,PESA Bydgoszcz SA,Bydgoszcz,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)"
Kierowca kat. C+E,"https://www.pracuj.pl/praca/kierowca-kat-c%2be-swiebodzin,oferta,1003964003",10 000–12 000 zł brutto / mies.,AGRO LOGISTIC GROUP sp. z o.o.,Świebodzin,Pracownik fizyczny
Stolarz - Operator maszyn stolarskich,"https://www.pracuj.pl/praca/stolarz-operator-maszyn-stolarskich-kalen-pow-piotrkowski,oferta,1003964002",6 200–8 200 zł brutto / mies.,"SŁAWOMIR SIŁA PRZEDSIĘBIORSTWO HANDLOWO - USŁUGOWE ""EURO-STYL""",Kaleń (pow. piotrkowski),Pracownik fizyczny
Młodszy prawnik - Associate,"https://www.pracuj.pl/praca/mlodszy-prawnik-associate-wroclaw-michalczyka-5,oferta,1003920654",5 000–7 000 zł brutto / mies.,SQUARE LEGAL,"Wrocław, Stare Miasto",Młodszy specjalista (Junior)
Mechanik,"https://www.pracuj.pl/praca/mechanik-bydgoszcz-zygmunta-augusta-11,oferta,1003945178",N/A,PESA Bydgoszcz SA,Bydgoszcz,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)"
Pomocnik kucharza,"https://www.pracuj.pl/praca/pomocnik-kucharza-warszawa-gen-bronislawa-bohaterewicza-5-7,oferta,1003964001",4 400–6 000 zł brutto / mies.,SOWA Adam Zatorski,"Warszawa, Praga-Południe",Pracownik fizyczny
Stolarz - Montażysta,"https://www.pracuj.pl/praca/stolarz-montazysta-zajaczkowo-pow-tczewski,oferta,1003964000",6 500–8 500 zł / mies. (zal. od umowy),Meble WIOMAR Marcin Liżewski,Zajączkowo (pow. tczewski),Pracownik fizyczny
Kucharz / Kucharka,"https://www.pracuj.pl/praca/kucharz-kucharka-brenna-pow-cieszynski,oferta,1003929924",N/A,HOTEL TIPS KATARZYNA WRÓBEL,Brenna (pow. cieszyński),Pracownik fizyczny
Magazynier - Operator wózka widłowego,"https://www.pracuj.pl/praca/magazynier-operator-wozka-widlowego-radzymin-aleja-jana-pawla-ii-59,oferta,1003963999",5 900–7 000 zł brutto / mies.,"""SANTISS GROUP"" sp. z o.o.",Radzymin,Pracownik fizyczny
Specjalista / Specjalistka ds. audytu,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-audytu-warszawa-adama-branickiego-17,oferta,1003963998",11 000–15 000 zł / mies. (zal. od umowy),BF AUDYT sp. z o.o.,"Warszawa, Wilanów",Specjalista (Mid / Regular)
Brygadzista,"https://www.pracuj.pl/praca/brygadzista-poznan,oferta,1003963997",10 000–11 251 zł / mies. (zal. od umowy),REN-ARCH sp. z o.o.,Poznań,Kierownik / Koordynator
Sprzedawca mebli kuchennych,"https://www.pracuj.pl/praca/sprzedawca-mebli-kuchennych-warszawa-pulawska-543,oferta,1003963996",6 500–8 500 zł brutto / mies.,MARITO,"Warszawa, Ursynów",Asystent
Audytor - Asystent Biegłego Rewidenta,"https://www.pracuj.pl/praca/audytor-asystent-bieglego-rewidenta-warszawa-adama-branickiego-17,oferta,1003963995",7 000–11 000 zł / mies. (zal. od umowy),BF AUDYT sp. z o.o.,"Warszawa, Wilanów",Młodszy specjalista (Junior)
Śrutownik,"https://www.pracuj.pl/praca/srutownik-bydgoszcz-zygmunta-augusta-11,oferta,1003945174",N/A,PESA Bydgoszcz SA,Bydgoszcz,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)"
Specjalista / Specjalistka ds. turystyki,"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-turystyki-plock-zygmunta-padlewskiego-18c,oferta,1003929922",N/A,URLOPY.PL,Płock,Specjalista (Mid / Regular)
Pracownik Drogerii - 1/2 etatu,"https://www.pracuj.pl/praca/pracownik-drogerii-1-2-etatu-opole-budowlanych-48c,oferta,1003929921",N/A,dm-drogerie markt sp. z o.o.,Opole,Pracownik fizyczny
Handlowiec ds. rozwoju sieci handlowej,"https://www.pracuj.pl/praca/handlowiec-ds-rozwoju-sieci-handlowej-zuromin-szpitalna-65,oferta,1003963994",4 666–8 000 zł / mies. (zal. od umowy),TENIS TRAINER-PARTNER sp. z o.o.,Żuromin,Specjalista (Mid / Regular)
Pracownik Drogerii - 3/4 etatu,"https://www.pracuj.pl/praca/pracownik-drogerii-3-4-etatu-grodzisk-wielkopolski,oferta,1003929920",N/A,dm-drogerie markt sp. z o.o.,Grodzisk Wielkopolski,Pracownik fizyczny
Pracownik budowlany,"https://www.pracuj.pl/praca/pracownik-budowlany-brzeg,oferta,1003963993",5 500–6 500 zł brutto / mies.,ConCraft,Brzeg,Pracownik fizyczny
Doradca klienta,https://pracodawcy.pracuj.pl/company/20309919?pid=1003948035&multiple=true,N/A,Bank Millennium – Placówka Partnerska,2 lokalizacje,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)"
Accounts Manager (e-commerce),"https://www.pracuj.pl/praca/accounts-manager-e-commerce-warszawa,oferta,1003938370",N/A,CPL Jobs .,Warszawa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)"
Manager / Managerka ds. kluczowych klientów,"https://www.pracuj.pl/praca/manager-managerka-ds-kluczowych-klientow-gdansk-ksiedza-jerzego-popieluszki-26,oferta,1003963992",4 500–10 000 zł brutto / mies.,Q4 APARTMENTS sp. z o.o.,"Gdańsk, Młyniska",Menedżer
Przedstawiciel handlowy / Przedstawicielka handlowa,"https://www.pracuj.pl/praca/przedstawiciel-handlowy-przedstawicielka-handlowa-gdansk-ksiedza-jerzego-popieluszki-26,oferta,1003963991",3 546–20 000 zł / mies. (zal. od umowy),Q4 APARTMENTS sp. z o.o.,"Gdańsk, Młyniska",Specjalista (Mid / Regular)
Accountant with Italian,"https://www.pracuj.pl/praca/accountant-with-italian-szczecin,oferta,1003938366",N/A,CPL Jobs .,Szczecin,Specjalista (Mid / Regular)
Technik Serwisu Mobilnego,"https://www.pracuj.pl/praca/technik-serwisu-mobilnego-warszawa,oferta,1003951385",N/A,FBSERWIS S A,Warszawa,Pracownik fizyczny
Krawcowa / Krawiec,"https://www.pracuj.pl/praca/krawcowa-krawiec-warszawa-polczynska-4,oferta,1003963990",N/A,"PRALNIE CHEMICZNE ""PRIMA"" S.C. JOANNA YAO-PROKOP, ELŻBIETA AFELLAT","Warszawa, Wola",Pracownik fizyczny
Menedżer / Menedżerka IT,"https://www.pracuj.pl/praca/menedzer-menedzerka-it-warszawa-prosta-18,oferta,1003920629",N/A,mBank,"Warszawa, Wola",Menedżer
IT Project Manager - Obszar Pacjenta,"https://www.pracuj.pl/praca/it-project-manager-obszar-pacjenta-torun-forteczna-35,oferta,1003948029",N/A,GRUPA NEUCA,"Toruń, Wrzosy",Kierownik / Koordynator
Pomoc kuchenna,"https://www.pracuj.pl/praca/pomoc-kuchenna-ostrow-wielkopolski-rynek-35,oferta,1003929918",N/A,"BURGEROWNIA PAŚNIK PAULINA KAŁUŻNA, KRZYSZTOF URBANIAK s.c.",Ostrów Wielkopolski,Pracownik fizyczny
Kucharz / Kucharka,"https://www.pracuj.pl/praca/kucharz-kucharka-brzezno-pow-trzebnicki-1,oferta,1003938363",8 500–9 000 zł brutto / mies.,Pałac Brzeźno Spa&Golf,Brzeźno (pow. trzebnicki),Pracownik fizyczny
Lakiernik,"https://www.pracuj.pl/praca/lakiernik-bydgoszcz-zygmunta-augusta-11,oferta,1003945165",N/A,PESA Bydgoszcz SA,Bydgoszcz,"Specjalista (Mid / Regular), Młodszy specjalista (Junior)"
Kierownik sprzedaży,"https://www.pracuj.pl/praca/kierownik-sprzedazy-bielsko-biala-cechowa-17,oferta,1003963989",N/A,Promesa Service Sp. z o.o.,Bielsko-Biała,Kierownik / Koordynator
Technik - elektronik,"https://www.pracuj.pl/praca/technik-elektronik-solec-kujawski-ogrodowa-2a,oferta,1003924082",5 000–8 500 zł brutto / mies.,CAMSAT PRZEMYSŁAW GRALAK,Solec Kujawski,Pracownik fizyczny
Recepcjonista / Recepcjonistka,"https://www.pracuj.pl/praca/recepcjonista-recepcjonistka-katowice,oferta,1003963988",N/A,Courtyard by Marriott,Katowice,Pracownik fizyczny
Fizjoterapeuta / Fizjoterapeutka,"https://www.pracuj.pl/praca/fizjoterapeuta-fizjoterapeutka-poznan-katowicka-77a,oferta,1003929916",N/A,REMPLUS RehaFitness,"Poznań, Nowe Miasto",Specjalista (Mid / Regular)
Stolarz meblowy,"https://www.pracuj.pl/praca/stolarz-meblowy-chwaszczyno-pow-kartuski,oferta,1003938358",5 000–8 000 zł brutto / mies.,DREVTOL Jarosław Kwidziński,Chwaszczyno (pow. kartuski),Pracownik fizyczny
